fecha,prediccion,real,precios
05-11-2018,-0.6990263797342777,-7.815213615838833,53.08
06-11-2018,-0.12052500247955322,-6.161879895561368,53.91
07-11-2018,-1.3449782927831013,-3.433552748621241,54.28
08-11-2018,-3.871741771697998,-5.958454810495633,51.61
09-11-2018,-1.9213569164276123,0.24837600305692673,52.47
12-11-2018,-4.220962683359782,-3.8120908740854773,49.96
13-11-2018,-5.908273855845134,-8.290549534131976,48.23
14-11-2018,-6.561723550160726,,
15-11-2018,-3.834846337636312,,
16-11-2018,-3.762120564778646,,
20-11-2018,-2.0023386081059775,,
21-11-2018,-2.687293291091919,,
22-11-2018,-2.0433437824249268,,
23-11-2018,-5.3077724774678545,,
