fecha,tasa,precios
22-11-2018,-1.8987341772151916,3.1
23-11-2018,-0.6535947712418306,3.04
26-11-2018,-7.911392405063291,2.91
27-11-2018,-3.225806451612906,3.0
28-11-2018,-3.0769230769230798,3.15
29-11-2018,-1.5772870662460512,3.12
30-11-2018,2.912621359223311,3.18
03-12-2018,6.451612903225797,3.3
04-12-2018,2.3026315789473633,3.11
05-12-2018,6.529209621993124,3.1
06-12-2018,3.6666666666666625,3.11
07-12-2018,-0.9523809523809462,3.12
10-12-2018,-4.487179487179491,2.98
11-12-2018,-5.345911949685545,3.01
