index,activation,epochs,error,hidden,learning_rate,prediction,random_seed
60,<function elu at 0x0000000008C856A8>,500,2.717354464136586,1000,0.005,"[0.3229864239692688, 0.8051328063011169, 1.5189930200576782, 1.2808424234390259, 0.6286677718162537, -0.35706502199172974, 0.12853997945785522, 1.2550066709518433, 0.6257492899894714, 0.3887419104576111, -0.8188504576683044, 0.4004550576210022, 0.7165578007698059, 1.3416757583618164]",2.717354464136586
16,<function elu at 0x0000000008C856A8>,1000,2.7331949949918473,100,0.005,"[1.149194598197937, 0.913617730140686, 0.743741512298584, 0.7535017728805542, 1.195365071296692, -3.3650875091552734, -1.8833760023117065, 0.4790097177028656, 1.2912565469741821, -5.218705177307129, -6.066425323486328, -5.493129730224609, -2.2201428413391113, -1.9767297506332397]",2.7331949949918473
136,<function relu at 0x0000000008C7E400>,1000,2.843473108953963,1000,0.005,"[0.492504358291626, 1.0174556970596313, 2.4790594577789307, 0.7328912615776062, -0.9655299186706543, -1.886029601097107, 0.30010583996772766, 1.41855788230896, 0.014108601957559586, -1.2164617776870728, -1.7414568662643433, -1.9869223833084106, -0.8405248522758484, 0.9303881525993347]",2.843473108953963
41,<function elu at 0x0000000008C856A8>,1000,2.927630060782349,500,0.005,"[1.235478401184082, 1.366401195526123, 1.911515712738037, 0.48206135630607605, 0.8950061798095703, -2.5551164150238037, -1.9071124792099, -2.8809759616851807, -0.43650057911872864, -4.167537689208984, -1.328574299812317, -2.6074306964874268, -1.9608383178710938, -3.1452136039733887]",2.927630060782349
3,<function elu at 0x0000000008C856A8>,1000,2.9402168231539667,100,0.0001,"[0.6851840615272522, 1.1965854167938232, 1.5057141780853271, 1.5883837938308716, 0.9892862439155579, 0.21598295867443085, -0.32452768087387085, -0.3251304030418396, -0.8306228518486023, -2.192560911178589, -3.089143991470337, -4.64764404296875, -5.990763187408447, -8.970111846923828]",2.9402168231539667
63,<function elu at 0x0000000008C856A8>,1000,2.9531493533023987,1000,0.005,"[0.5732425451278687, 1.3082284927368164, 1.9079930782318115, 0.9359328746795654, 1.0494284629821777, 0.38489747047424316, -0.7336325645446777, -1.2029006481170654, -0.949445366859436, -0.43016886711120605, -1.1357083320617676, -1.8170222043991089, -0.37391865253448486, -0.8042525053024292]",2.9531493533023987
4,<function elu at 0x0000000008C856A8>,1000,2.956665207788927,100,0.0001,"[0.6074404120445251, 1.1953136920928955, 1.7288222312927246, 1.7643887996673584, 1.0865662097930908, 0.11839312314987183, -0.42183583974838257, -0.17907530069351196, -0.9206392168998718, -2.5204179286956787, -3.939258337020874, -5.534032344818115, -7.246022701263428, -8.209700584411621]",2.956665207788927
0,<function elu at 0x0000000008C856A8>,500,2.961520058347382,100,0.0001,"[0.5606397986412048, 1.0411889553070068, 1.3242367506027222, 1.573387622833252, 1.3405951261520386, 0.6180852055549622, 0.0009191669523715973, 0.0847213864326477, 0.26997286081314087, -0.13885420560836792, -0.19058960676193237, -0.3482300043106079, -0.3092864751815796, -0.3919861912727356]",2.961520058347382
19,<function elu at 0x0000000008C856A8>,500,2.968627184777307,100,0.0005,"[0.8034008145332336, 1.4749947786331177, 1.7949424982070923, 1.4909917116165161, 0.5875722765922546, -0.4886358678340912, -0.3863852918148041, -0.48205438256263733, -2.4352529048919678, -4.635110378265381, -4.353775501251221, -4.9242448806762695, -4.479889869689941, -3.9206032752990723]",2.968627184777307
1,<function elu at 0x0000000008C856A8>,500,2.9834692728726067,100,0.0001,"[0.5114166736602783, 1.0399101972579956, 1.657627820968628, 1.7813698053359985, 1.3617483377456665, 0.48764580488204956, -0.11958504468202591, -0.12701775133609772, -0.43621495366096497, -1.2877976894378662, -2.3109683990478516, -3.3639919757843018, -3.8636696338653564, -3.4347870349884033]",2.9834692728726067
