Security,ALSEA* MM Equity                                                
Start Date,08/01/2001 00:00
End Date,07/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
14/12/2017,64.63
13/12/2017,64.55
11/12/2017,62.49
08/12/2017,62.89
07/12/2017,61.8
06/12/2017,61.65
05/12/2017,61.53
04/12/2017,61.37
01/12/2017,61.65
30/11/2017,61.59
29/11/2017,61.8
28/11/2017,61.52
27/11/2017,61.15
24/11/2017,61.28
23/11/2017,61.44
22/11/2017,61.39
21/11/2017,61.39
17/11/2017,58.39
16/11/2017,57.14
15/11/2017,57.78
14/11/2017,56.97
13/11/2017,57.17
10/11/2017,56.92
09/11/2017,58.48
08/11/2017,57.82
07/11/2017,59.06
06/11/2017,59.12
03/11/2017,57.24
01/11/2017,57.41
31/10/2017,58.12
30/10/2017,57.69
27/10/2017,56.08
26/10/2017,55.48
25/10/2017,56.16
24/10/2017,57.12
23/10/2017,57.17
20/10/2017,58.66
19/10/2017,59.67
18/10/2017,59.91
17/10/2017,59.79
16/10/2017,60.52
13/10/2017,59.95
12/10/2017,60.54
11/10/2017,61.9
10/10/2017,61.56
09/10/2017,62.62
06/10/2017,64.13
05/10/2017,66.68
04/10/2017,66.8
03/10/2017,66.8
02/10/2017,66.83
29/09/2017,66.97
28/09/2017,66.92
27/09/2017,66.39
26/09/2017,67.01
25/09/2017,65.99
22/09/2017,64.93
21/09/2017,65.05
20/09/2017,64.52
19/09/2017,64.79
18/09/2017,63.98
15/09/2017,63.5
14/09/2017,64.35
13/09/2017,65.08
12/09/2017,65.27
11/09/2017,64.81
08/09/2017,63.68
07/09/2017,64.82
06/09/2017,64.27
05/09/2017,63.7
04/09/2017,63.65
01/09/2017,64.01
31/08/2017,65.05
30/08/2017,65.46
29/08/2017,64.57
28/08/2017,64.5
25/08/2017,65.73
24/08/2017,66.66
23/08/2017,67.75
22/08/2017,68
21/08/2017,68.33
18/08/2017,67.86
17/08/2017,67.88
16/08/2017,67.38
15/08/2017,67.93
14/08/2017,68.56
11/08/2017,68
10/08/2017,67.39
09/08/2017,68.87
08/08/2017,69.36
07/08/2017,69.87
04/08/2017,70.41
03/08/2017,70.34
02/08/2017,69.96
01/08/2017,69.32
31/07/2017,69.3
28/07/2017,67.16
27/07/2017,68.38
26/07/2017,70.27
25/07/2017,70.01
24/07/2017,69.59
21/07/2017,69.39
20/07/2017,68.76
19/07/2017,69.38
18/07/2017,70.29
17/07/2017,70.15
14/07/2017,69.84
13/07/2017,70.09
12/07/2017,70.59
11/07/2017,69.13
10/07/2017,69.95
07/07/2017,69.46
06/07/2017,69.64
05/07/2017,69.88
04/07/2017,69.01
03/07/2017,69.6
30/06/2017,68.69
29/06/2017,69.21
28/06/2017,70.04
27/06/2017,69.08
26/06/2017,70.32
23/06/2017,69.73
22/06/2017,70.5
21/06/2017,70.22
20/06/2017,69.93
19/06/2017,70.01
16/06/2017,69.85
15/06/2017,70.22
14/06/2017,69.64
13/06/2017,69.48
12/06/2017,69.04
09/06/2017,69.03
08/06/2017,69.02
07/06/2017,68.75
06/06/2017,69.13
05/06/2017,69.46
02/06/2017,68.02
01/06/2017,67.54
31/05/2017,67.17
30/05/2017,67.39
29/05/2017,68.89
26/05/2017,69.39
25/05/2017,67.98
24/05/2017,67.94
23/05/2017,67.79
22/05/2017,67.95
19/05/2017,68.02
18/05/2017,67.96
17/05/2017,67.99
16/05/2017,70.04
15/05/2017,71.59
12/05/2017,70.27
11/05/2017,70.19
10/05/2017,69.38
09/05/2017,70.02
08/05/2017,69.71
05/05/2017,69.26
04/05/2017,67.96
03/05/2017,67.57
02/05/2017,67.46
28/04/2017,66.89
27/04/2017,66.91
26/04/2017,66.56
25/04/2017,65.87
24/04/2017,64.85
21/04/2017,64.36
20/04/2017,63.85
19/04/2017,63.51
18/04/2017,62.85
17/04/2017,62.94
12/04/2017,62.89
11/04/2017,64.04
10/04/2017,64.79
07/04/2017,64.43
06/04/2017,62.52
05/04/2017,62.57
04/04/2017,62.26
03/04/2017,62.98
31/03/2017,62.39
30/03/2017,63.23
29/03/2017,63.9
28/03/2017,63.28
27/03/2017,62.57
24/03/2017,64.04
23/03/2017,63.18
22/03/2017,62.54
21/03/2017,62.15
17/03/2017,59.94
16/03/2017,57.85
15/03/2017,56.67
14/03/2017,56.75
13/03/2017,56.65
10/03/2017,57.48
09/03/2017,57.07
08/03/2017,56.53
07/03/2017,56.74
06/03/2017,57.52
03/03/2017,56.62
02/03/2017,56.35
01/03/2017,56.04
28/02/2017,56.65
27/02/2017,57.52
24/02/2017,56.78
23/02/2017,57.52
22/02/2017,57.79
21/02/2017,58.07
20/02/2017,57.62
17/02/2017,58.16
16/02/2017,58.26
15/02/2017,59.05
14/02/2017,58.13
13/02/2017,57.96
10/02/2017,58.56
09/02/2017,56.88
08/02/2017,57.12
07/02/2017,57.06
03/02/2017,57.88
02/02/2017,58.41
01/02/2017,60.2
31/01/2017,60.29
30/01/2017,59.52
27/01/2017,59.71
26/01/2017,58.38
25/01/2017,58.33
24/01/2017,56.93
23/01/2017,52.89
20/01/2017,51
19/01/2017,49.87
18/01/2017,51.68
17/01/2017,52.27
16/01/2017,53.75
13/01/2017,54.35
12/01/2017,54.44
11/01/2017,53.76
10/01/2017,53.17
09/01/2017,54.34
06/01/2017,57.67
05/01/2017,58.95
04/01/2017,59.32
03/01/2017,59.47
02/01/2017,59.4
30/12/2016,59.33
29/12/2016,60.24
28/12/2016,58.66
27/12/2016,58.75
26/12/2016,58.64
23/12/2016,58.8
22/12/2016,58.81
21/12/2016,59.09
20/12/2016,59.42
19/12/2016,59.36
16/12/2016,58.82
15/12/2016,59.21
14/12/2016,59.6
13/12/2016,59.19
09/12/2016,58.07
08/12/2016,58.1
07/12/2016,58.62
06/12/2016,57.97
05/12/2016,58.22
02/12/2016,58.54
01/12/2016,59.4
30/11/2016,60.4
29/11/2016,60.1
28/11/2016,59.66
25/11/2016,60.02
24/11/2016,59.88
23/11/2016,59.63
22/11/2016,59.95
18/11/2016,59.82
17/11/2016,60.85
16/11/2016,60.47
15/11/2016,61.53
14/11/2016,58.86
11/11/2016,58.05
10/11/2016,59.82
09/11/2016,67.71
08/11/2016,69.93
07/11/2016,68.93
04/11/2016,68.58
03/11/2016,67.49
01/11/2016,67.84
31/10/2016,70.54
28/10/2016,70.43
27/10/2016,70.24
26/10/2016,70.02
25/10/2016,70.24
24/10/2016,70.1
21/10/2016,69.59
20/10/2016,70.59
19/10/2016,70.25
18/10/2016,69.03
17/10/2016,68.64
14/10/2016,68.61
13/10/2016,67.99
12/10/2016,67.58
11/10/2016,68.08
10/10/2016,67.69
07/10/2016,67
06/10/2016,67.26
05/10/2016,67.08
04/10/2016,67.18
03/10/2016,66.91
30/09/2016,65.78
29/09/2016,66.14
28/09/2016,66.57
27/09/2016,66.67
26/09/2016,66.32
23/09/2016,67.04
22/09/2016,68.37
21/09/2016,67.95
20/09/2016,67.49
19/09/2016,66.92
15/09/2016,66.02
14/09/2016,66.08
13/09/2016,66.38
12/09/2016,66.08
09/09/2016,66.72
08/09/2016,67.4
07/09/2016,67.3
06/09/2016,67.58
05/09/2016,67.66
02/09/2016,67.94
01/09/2016,67.53
31/08/2016,67.66
30/08/2016,67.47
29/08/2016,67.82
26/08/2016,67.31
25/08/2016,68.16
24/08/2016,67.91
23/08/2016,66.94
22/08/2016,67.96
19/08/2016,67.63
18/08/2016,67.64
17/08/2016,67.29
16/08/2016,66.68
15/08/2016,66.56
12/08/2016,66.53
11/08/2016,66.64
10/08/2016,66.87
09/08/2016,67.43
08/08/2016,66.88
05/08/2016,67.97
04/08/2016,67.68
03/08/2016,67.3
02/08/2016,66.65
01/08/2016,66.83
29/07/2016,66.87
28/07/2016,67.21
27/07/2016,67.68
26/07/2016,67.91
25/07/2016,68.6
22/07/2016,69.53
21/07/2016,69.21
20/07/2016,68.51
19/07/2016,68.12
18/07/2016,68.56
15/07/2016,68.85
14/07/2016,69.84
13/07/2016,69.15
12/07/2016,69.79
11/07/2016,70.03
08/07/2016,69.87
07/07/2016,69.18
06/07/2016,68.98
05/07/2016,67.95
04/07/2016,69.03
01/07/2016,69.66
30/06/2016,69.52
29/06/2016,70.04
28/06/2016,68.78
27/06/2016,68.35
24/06/2016,69.31
23/06/2016,72.01
22/06/2016,71.16
21/06/2016,71.56
20/06/2016,70.08
17/06/2016,69.1
16/06/2016,69.03
15/06/2016,69.55
14/06/2016,70.22
13/06/2016,70.18
10/06/2016,70.78
