Security,ALPEKA MM Equity                                                
Start Date,25/04/2012 00:00
End Date,14/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
5/9/2018,28.08
4/9/2018,28.01
3/9/2018,28.24
31/08/2018,28.19
30/08/2018,27.67
29/08/2018,27.98
28/08/2018,28.23
27/08/2018,29.22
24/08/2018,28.95
23/08/2018,29.08
22/08/2018,29.88
21/08/2018,29.82
20/08/2018,29.55
17/08/2018,28.59
16/08/2018,29.7
15/08/2018,30.19
14/08/2018,30.62
13/08/2018,30.67
10/8/2018,31.07
9/8/2018,30.79
8/8/2018,31.02
7/8/2018,31.46
6/8/2018,31.83
3/8/2018,31.34
2/8/2018,31.52
1/8/2018,31.28
31/07/2018,31.54
30/07/2018,31.2
27/07/2018,31.12
26/07/2018,31.38
25/07/2018,31.4
24/07/2018,30.87
23/07/2018,31.14
20/07/2018,31.19
19/07/2018,31.02
18/07/2018,29.78
17/07/2018,29.6
16/07/2018,29.38
13/07/2018,29.7
12/7/2018,29.74
11/7/2018,29.71
10/7/2018,29.85
9/7/2018,30.09
6/7/2018,29.63
5/7/2018,29.78
4/7/2018,29.44
