fecha,prediccion,real,precios
21-12-2018,-0.0219980130592982,1.7328519855595683,14.09
24-12-2018,-0.6307617624600729,-2.087682672233813,14.07
26-12-2018,-0.7750645875930786,-2.783576896311751,13.97
27-12-2018,0.4305726885795593,-0.5035971223021604,13.83
28-12-2018,-0.13906091948350272,-1.273885350318482,13.95
31-12-2018,-1.125648021697998,-2.7797081306462843,13.99
02-01-2019,-0.9080258111159006,0.3477051460361539,14.43
03-01-2019,-0.5700307885805765,,
04-01-2019,1.3104384144147236,,
07-01-2019,1.7966452638308208,,
08-01-2019,1.1111277143160503,,
09-01-2019,1.5007049242655437,,
10-01-2019,1.451564331849416,,
11-01-2019,1.872369925181071,,
