fecha,tasa,precios
31-08-2018,0.7102693104468837,68.06
03-09-2018,-0.9556012937371237,67.37
04-09-2018,-1.4196983141082637,66.66
05-09-2018,-4.172724629252697,65.91
06-09-2018,-4.5342604664638495,65.9
07-09-2018,-3.0948610911184766,67.32
10-09-2018,-0.47393364928908943,67.2
11-09-2018,-2.9532765207170217,66.05
12-09-2018,-3.072584236306972,65.3
13-09-2018,-1.0501050105010543,65.96
14-09-2018,1.4110150204824865,66.84
17-09-2018,-0.31866464339910155,65.69
18-09-2018,-2.9263220439691016,65.35
19-09-2018,-1.5624999999999958,66.15
