fecha,tasa,precios
17-10-2018,-2.407002188183806,31.22
18-10-2018,-4.647486563389184,30.16
19-10-2018,-2.6828489300542953,30.47
22-10-2018,1.2325116588940739,30.39
23-10-2018,-0.23248090335436827,30.04
24-10-2018,-5.5465978716543125,29.29
25-10-2018,-9.471016788089965,28.58
26-10-2018,-9.03267136450993,28.4
29-10-2018,-10.543766578249336,26.98
30-10-2018,-12.471283229405964,26.67
31-10-2018,-12.010529779532748,26.74
01-11-2018,-5.059920106524632,28.52
05-11-2018,-2.389894161829974,28.59
06-11-2018,0.34989503149055784,28.68
