fecha,tasa,precios
23-11-2018,-2.9215976331360918,26.25
26-11-2018,-3.409933283914017,26.06
27-11-2018,-9.508315256688354,25.03
28-11-2018,-8.751373123398013,24.92
29-11-2018,-7.159005275056513,24.64
30-11-2018,-7.9895949461166795,24.76
03-12-2018,-7.1831515607371195,24.68
04-12-2018,-5.904761904761907,24.7
05-12-2018,-3.8756715272448123,25.05
06-12-2018,-0.03995205753096909,25.02
07-12-2018,2.4478330658105913,25.53
10-12-2018,-0.9740259740259821,24.4
11-12-2018,-3.594507269789986,23.87
13-12-2018,-2.795786061588336,23.99
