index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
0,"[1.5330630540847778, 0.7582002878189087, 1.2557661533355713, -0.2796784043312073, -1.2837828397750854, -1.9447458982467651, -1.8897169828414917, -4.6678924560546875, -3.1459686756134033, -0.4624880850315094, 2.5866408348083496, 1.0769999027252197, 1.8291550874710083, 3.308312177658081]","[30, 30, 30]",<function elu at 0x0000020F3DAF8F28>,1000,50,8.125106491766198,0.001
16,"[1.5330630540847778, 0.7582002878189087, 1.2557661533355713, -0.2796784043312073, -1.2837828397750854, -1.9447458982467651, -1.8897169828414917, -4.6678924560546875, -3.1459686756134033, -0.4624880850315094, 2.5866408348083496, 1.0769999027252197, 1.8291550874710083, 3.308312177658081]","[30, 30, 30]",<function relu at 0x0000020F3DB012F0>,1000,50,8.125106491766198,0.001
28,"[0.9028639793395996, 0.023594200611114502, 1.371107578277588, 0.29391101002693176, -2.0565342903137207, -0.9550364017486572, -2.2456579208374023, 3.4897098541259766, 4.210177421569824, 2.3575897216796875, 2.5934970378875732, 3.1449992656707764, 6.146546840667725, 7.279023170471191]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1000,50,8.232645352714165,0.01
12,"[0.9028639793395996, 0.023594200611114502, 1.371107578277588, 0.29391101002693176, -2.0565342903137207, -0.9550364017486572, -2.2456579208374023, 3.4897098541259766, 4.210177421569824, 2.3575897216796875, 2.5934970378875732, 3.1449992656707764, 6.146546840667725, 7.279023170471191]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,50,8.232645352714165,0.01
25,"[1.4988497495651245, 1.4437812566757202, 1.6849925518035889, 0.2097223997116089, -2.255387783050537, -2.572744607925415, -2.9395272731781006, -3.824568748474121, -4.430285930633545, -5.723217010498047, -4.677143573760986, -2.558626651763916, -0.08091308921575546, 0.5112971067428589]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1000,100,8.250105409653905,0.001
9,"[1.4988497495651245, 1.4437812566757202, 1.6849925518035889, 0.2097223997116089, -2.255387783050537, -2.572744607925415, -2.9395272731781006, -3.824568748474121, -4.430285930633545, -5.723217010498047, -4.677143573760986, -2.558626651763916, -0.08091308921575546, 0.5112971067428589]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,100,8.250105409653905,0.001
14,"[0.7721307873725891, -0.1324910819530487, 1.0665388107299805, 0.18006932735443115, -2.4323434829711914, -0.8138461709022522, -2.0768485069274902, 3.93882417678833, 4.5669379234313965, 2.3863725662231445, 3.2059223651885986, 2.844620943069458, 6.898845195770264, 7.419757843017578]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,50,8.38752953999643,0.01
30,"[0.7721307873725891, -0.1324910819530487, 1.0665388107299805, 0.18006932735443115, -2.4323434829711914, -0.8138461709022522, -2.0768485069274902, 3.93882417678833, 4.5669379234313965, 2.3863725662231445, 3.2059223651885986, 2.844620943069458, 6.898845195770264, 7.419757843017578]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1500,50,8.38752953999643,0.01
1,"[1.1939371824264526, 1.2936160564422607, 1.5573511123657227, -0.0004596598446369171, -2.2017316818237305, -1.944112777709961, -4.354316234588623, -2.8115999698638916, -3.4397449493408203, -2.4953982830047607, 1.310334324836731, -0.4583624005317688, 3.6077613830566406, 4.107228755950928]","[30, 30, 30]",<function elu at 0x0000020F3DAF8F28>,1000,100,8.39530346354831,0.001
17,"[1.1939371824264526, 1.2936160564422607, 1.5573511123657227, -0.0004596598446369171, -2.2017316818237305, -1.944112777709961, -4.354316234588623, -2.8115999698638916, -3.4397449493408203, -2.4953982830047607, 1.310334324836731, -0.4583624005317688, 3.6077613830566406, 4.107228755950928]","[30, 30, 30]",<function relu at 0x0000020F3DB012F0>,1000,100,8.39530346354831,0.001
