fecha,prediccion,real,precios
2018-09-21,0.34137242039044696,-2.990654205607479,15.57
2018-09-24,-0.014317631721496582,-3.2378580323785777,15.54
2018-09-25,-0.02169342835744222,-0.7019783024888285,15.56
2018-09-26,-0.5757266481717428,-0.8360128617363394,15.42
2018-09-27,-0.8229470252990723,-1.9859064702113949,15.3
2018-09-28,-1.538230021794637,-3.589743589743593,15.04
2018-10-01,-0.9877932965755463,-2.432778489116511,15.24
2018-10-02,-1.1525124708811443,,
2018-10-03,-3.1055133938789368,,
2018-10-04,-4.454692999521892,,
2018-10-05,-3.282914956410726,,
2018-10-08,-3.182234764099121,,
2018-10-09,-1.888727347056071,,
2018-10-10,-3.00539763768514,,
