fecha,prediccion,real,precios
07-09-2018,0.683377742767334,-0.6493010465205059,130.06
10-09-2018,0.49588924646377563,-1.2693284098776871,128.34
11-09-2018,0.6905814607938131,0.0,130.86
12-09-2018,2.0240798791249595,2.640749632153641,132.54
13-09-2018,3.2912416458129883,6.163840912692126,134.0
14-09-2018,2.098660469055176,2.6335995085994917,133.67
17-09-2018,1.7393302917480469,2.3939650527288228,133.02
18-09-2018,-1.7772745800515015,,
19-09-2018,-3.0259809494018555,,
20-09-2018,-3.0717406272888184,,
21-09-2018,-2.102777640024821,,
24-09-2018,-3.296830693880717,,
25-09-2018,1.4052184422810872,,
26-09-2018,1.2063236236572266,,
