fecha,prediccion,real,precios
21-11-2018,0.21561047434806824,-5.85096245473604,49.4
22-11-2018,0.023539017885923386,-1.9215372297838287,49.0
23-11-2018,1.1108815583089988,0.8293593199253695,48.63
26-11-2018,1.9724863370259602,-0.4693834008960932,46.65
27-11-2018,4.970195929209392,6.558098591549305,48.42
28-11-2018,5.948863506317139,5.446898002103057,50.14
29-11-2018,4.246193567911784,4.739433729995887,51.05
30-11-2018,2.722014586130778,,
03-12-2018,2.014737288157145,,
04-12-2018,1.9246754844983418,,
05-12-2018,1.7441028952598572,,
06-12-2018,2.6434973975022635,,
07-12-2018,2.651463806629181,,
10-12-2018,2.716279278198878,,
