fecha,tasa,precios
08-10-2018,-3.622865627319967,129.82
09-10-2018,-2.4981522542498324,131.92
10-10-2018,-2.346385100454604,133.18
11-10-2018,-0.12854442344044423,132.08
12-10-2018,-1.2533773641549204,131.57
15-10-2018,0.06056018168055451,132.18
16-10-2018,0.5765437718100587,132.58
17-10-2018,2.4495455245724904,133.0
18-10-2018,-0.8338386901152172,130.82
19-10-2018,-0.015017269860347073,133.16
22-10-2018,-0.16656571774681922,131.86
23-10-2018,-2.1281447138405283,128.77
24-10-2018,-4.418217582085038,126.34
25-10-2018,-3.5148589530849375,127.92
