fecha,tasa,precios
12-11-2018,-11.649964209019334,98.74
13-11-2018,-17.819529867722633,97.54
14-11-2018,-18.797478584128005,100.48
15-11-2018,-20.806305936447988,96.45
16-11-2018,-19.070763654337263,98.24
20-11-2018,-8.864783991023009,97.46
21-11-2018,-8.272459918413812,96.69
22-11-2018,-2.096414826817899,96.67
23-11-2018,-1.50707402091451,96.07
26-11-2018,-16.76950636942676,83.63
27-11-2018,-11.964748574390883,84.91
28-11-2018,-7.776872964169382,90.6
29-11-2018,-5.674122717012094,91.93
30-11-2018,-3.6611852311510935,93.15
