fecha,prediccion,real,precios
28-12-2018,0.8615870475769043,1.220961642355494,93.68
31-12-2018,0.6539197464783987,0.4088478876192479,95.78
02-01-2019,1.5591315031051636,5.559745717056348,97.97
03-01-2019,1.2132746577262878,2.994777789619527,96.64
04-01-2019,1.4595455527305603,2.9633620689655173,95.55
07-01-2019,0.663563589255015,0.180103824557688,94.56
08-01-2019,1.2251188556353252,3.8153254248156543,97.14
09-01-2019,1.3318102757136028,,
10-01-2019,1.3365543683369954,,
11-01-2019,1.5163769721984863,,
14-01-2019,0.7593556841214498,,
15-01-2019,1.4717273910840352,,
16-01-2019,1.0379338661829631,,
17-01-2019,1.5999340415000916,,
