fecha,prediccion,real,precios
19-12-2018,0.3125474850336711,-1.143401619818954,41.5
20-12-2018,0.28866079449653625,0.8930726526671432,41.8
21-12-2018,1.1047746737798054,1.4885309907272,41.59
24-12-2018,0.6991236905256907,-0.3364575823119456,41.47
26-12-2018,0.6440726121266683,0.7491541807636423,41.69
27-12-2018,2.120511213938395,2.273288855942678,41.39
28-12-2018,1.2485463221867878,1.0233918128655013,41.46
31-12-2018,0.6514774262905121,,
02-01-2019,-0.956545871992906,,
03-01-2019,-1.6073529720306396,,
04-01-2019,-1.3286961913108826,,
07-01-2019,-1.5105711643894513,,
08-01-2019,-1.91648534933726,,
09-01-2019,-1.3308012088139851,,
