fecha,prediccion,real,precios
03-10-2018,0.009430641308426857,-0.7904337251722751,48.95
04-10-2018,0.21232191969950995,-2.014910336490026,48.63
05-10-2018,-0.35800618429978687,-3.0688471633353585,48.01
08-10-2018,-0.637293815612793,-3.1085991118288234,48.0
09-10-2018,-1.387797474861145,-2.0036429872495343,48.42
10-10-2018,-2.0540174643198648,-3.3574587856855684,48.07
11-10-2018,-1.9087077776590984,-3.690186536901866,47.5
12-10-2018,-0.82906041542689,,
15-10-2018,0.2751426100730896,,
16-10-2018,0.5591381390889486,,
17-10-2018,-0.379148006439209,,
18-10-2018,-0.49953071276346844,,
19-10-2018,0.5357087453206381,,
22-10-2018,2.5940240224202475,,
