fecha,precios,prediccion,real
09-08-2018,15.94,0.4396054297685623,-0.18785222291797832
10-08-2018,15.66,1.1824030876159668,-0.8860759493670922
13-08-2018,15.78,1.5946006774902344,0.509554140127389
14-08-2018,15.9,0.6431680172681808,1.1450381679389294
15-08-2018,15.71,-0.8477040827274323,-0.06361323155216149
16-08-2018,15.58,-2.2164580821990967,-3.6487322201608015
17-08-2018,15.72,-1.0453950017690659,-3.380454824830971
20-08-2018,,2.7138693928718567,
21-08-2018,,5.491663217544556,
22-08-2018,,3.590249538421631,
23-08-2018,,1.4731173515319824,
24-08-2018,,1.1135805249214172,
27-08-2018,,3.4634220600128174,
28-08-2018,,3.724114179611206,
