fecha,prediccion,real,precios
30-08-2018,-0.22197790443897247,-1.1578305911029938,16.22
31-08-2018,-0.030862580984830856,-2.253349573690627,16.05
03-09-2018,-0.5750935027996699,0.4993757802746682,16.1
04-09-2018,-1.8702198664347331,-2.107873527588344,15.79
05-09-2018,-2.5717630783716836,-6.249999999999997,15.3
06-09-2018,-2.740253210067749,-5.253512522907765,15.51
07-09-2018,-1.1462447841962178,-5.075528700906343,15.71
10-09-2018,0.7872118155161539,,
11-09-2018,2.897848421086868,,
12-09-2018,2.8954604963461557,,
13-09-2018,3.6622069428364434,,
14-09-2018,2.043148179848989,,
17-09-2018,1.778435230255127,,
18-09-2018,3.7314301331837973,,
