fecha,precios,prediccion,real
02-08-2018,15.7,0.6711460649967194,-1.9362898188632245
03-08-2018,15.72,0.5871613621711731,-1.995012468827921
06-08-2018,15.72,0.45732632279396057,-0.882723833543498
07-08-2018,16.17,0.9053696095943451,1.826196473551643
08-08-2018,16.27,0.8579641282558441,2.006269592476491
09-08-2018,15.94,0.45997175574302673,-0.18785222291797832
10-08-2018,15.66,0.1783437430858612,-0.8860759493670922
13-08-2018,,0.7229284271597862,
14-08-2018,,0.9233280122280121,
15-08-2018,,-0.38584840297698975,
16-08-2018,,-0.608350396156311,
17-08-2018,,-0.7822988033294678,
20-08-2018,,1.1857926547527313,
21-08-2018,,3.0730225667357445,
