fecha,precios,prediccion,real
26-07-2018,15.86,0.8257026334603628,-3.6452004860267397
27-07-2018,15.88,1.2773524522781372,-3.582270795385538
30-07-2018,15.95,1.528565483291944,-1.0545905707196135
31-07-2018,15.97,1.2219991515080133,0.06265664160400869
01-08-2018,15.8,1.0531215558449427,-0.6289308176100606
02-08-2018,15.7,-0.17812600036462148,-1.9362898188632245
03-08-2018,15.72,-0.35019099147369465,-1.995012468827921
06-08-2018,,-0.5802830720941226,
07-08-2018,,-0.6923090719928344,
08-08-2018,,-1.9194797645012538,
09-08-2018,,-1.972092322508494,
10-08-2018,,-2.2174633274475735,
13-08-2018,,-2.1791780263185503,
14-08-2018,,-2.9895591509838897,
