fecha,prediccion,real,precios
25-09-2018,0.5405271848042806,-0.7019783024888285,15.56
26-09-2018,0.8587417205174764,-0.8360128617363394,15.42
27-09-2018,0.24407987296581268,-1.9859064702113949,15.3
28-09-2018,-0.7339863379796346,-3.589743589743593,15.04
01-10-2018,-2.5209912061691284,-2.432778489116511,15.24
02-10-2018,-2.012319008509318,-2.8259473346178514,15.13
03-10-2018,-4.242876609166463,-5.791505791505783,14.64
04-10-2018,-3.9229125579198203,,
05-10-2018,-2.426023085912069,,
08-10-2018,-0.9766353368759155,,
09-10-2018,1.08071768283844,,
10-10-2018,-0.13433387875556946,,
11-10-2018,-3.877737840016683,,
12-10-2018,-0.6199064254760742,,
