fecha,tasa,precios
07-08-2018,1.826196473551643,16.17
08-08-2018,2.006269592476491,16.27
09-08-2018,-0.18785222291797832,15.94
10-08-2018,-0.8860759493670922,15.66
13-08-2018,0.509554140127389,15.78
14-08-2018,1.1450381679389294,15.9
15-08-2018,-0.06361323155216149,15.71
16-08-2018,-3.6487322201608015,15.58
17-08-2018,-3.380454824830971,15.72
20-08-2018,0.2509410288582241,15.98
21-08-2018,4.7892720306513406,16.41
22-08-2018,4.0557667934093935,16.42
23-08-2018,0.7547169811320705,16.02
24-08-2018,2.6734563971992245,16.13
