fecha,tasa,precios
26-09-2018,-0.8360128617363394,15.42
27-09-2018,-1.9859064702113949,15.3
28-09-2018,-3.589743589743593,15.04
01-10-2018,-2.432778489116511,15.24
02-10-2018,-2.6332691072575476,15.16
03-10-2018,-5.534105534105531,14.68
04-10-2018,-5.462724935732646,14.71
05-10-2018,-5.382619974059663,14.59
08-10-2018,-1.1764705882353037,15.12
09-10-2018,-0.26595744680850497,15.0
10-10-2018,-1.7716535433070837,14.97
11-10-2018,-2.70448548812665,14.75
12-10-2018,-0.9536784741144453,14.54
15-10-2018,-0.8157715839564988,14.59
