fecha,prediccion,real,precios
13-12-2018,0.839870090285937,14.92027334851937,20.18
14-12-2018,4.875543832778931,15.011415525114149,20.15
17-12-2018,0.9647409878671169,13.156408808582711,20.04
18-12-2018,2.008146286010742,6.612903225806434,19.83
19-12-2018,3.5167742172876992,3.786307053941911,20.01
20-12-2018,3.722747882207235,7.172342621259033,20.77
21-12-2018,0.8082495232423147,7.929292929292931,21.37
24-12-2018,4.216498613357544,,
26-12-2018,0.9881411790847778,,
27-12-2018,1.0078160762786865,,
28-12-2018,2.5696449081103006,,
31-12-2018,2.127142548561096,,
02-01-2019,0.6247622966766357,,
03-01-2019,-1.0712404052416484,,
