fecha,prediccion,real,precios
26-10-2018,-0.09473488728205363,-9.03267136450993,28.4
29-10-2018,0.5697097132603327,-10.543766578249336,26.98
30-10-2018,-3.249932130177816,-12.471283229405964,26.67
31-10-2018,-4.986380894978841,-12.010529779532748,26.74
01-11-2018,-6.631031592686971,-5.059920106524632,28.52
05-11-2018,2.0523430506388345,-2.389894161829974,28.59
06-11-2018,-0.632345661520958,0.34989503149055784,28.68
07-11-2018,6.5020997524261475,,
08-11-2018,5.862047990163167,,
09-11-2018,3.304729719956716,,
12-11-2018,-0.15852642059326172,,
13-11-2018,-1.892568588256836,,
14-11-2018,-4.630021413167317,,
15-11-2018,-5.5434807141621905,,
