fecha,tasa,precios
29-08-2018,3.2520325203252134,138.43
30-08-2018,-0.7096349403760326,135.72
31-08-2018,-1.8748176247446902,134.51
03-09-2018,-1.4743636763735195,134.32
04-09-2018,-3.185363364676729,132.82
05-09-2018,-6.048703849175176,131.56
06-09-2018,-2.8203240058910253,131.97
07-09-2018,-4.3343205952466946,132.43
10-09-2018,-1.267315060418508,134.0
11-09-2018,-0.22303174485167124,134.21
12-09-2018,1.3773079213817707,136.17
13-09-2018,5.240174672489089,139.78
14-09-2018,6.407722712070544,139.99
17-09-2018,5.167841176024849,138.79
