fecha,prediccion,real,precios
15-10-2018,1.427136977513631,-0.8157715839564988,14.59
16-10-2018,0.5045500993728638,1.919122686771757,14.87
17-10-2018,-3.0369838873545327,-5.820105820105814,14.24
18-10-2018,-3.8987277348836265,-6.133333333333334,14.08
19-10-2018,-5.536146481831868,-4.342017368069474,14.32
22-10-2018,-4.510945955912272,-4.135593220338979,14.14
23-10-2018,-3.441404660542806,-3.43878954607978,14.04
24-10-2018,-3.6323625246683755,,
25-10-2018,-2.030590295791626,,
26-10-2018,-0.7141680717468262,,
29-10-2018,-0.3820655345916748,,
30-10-2018,2.111497402191162,,
31-10-2018,2.67984668413798,,
01-11-2018,0.20880873998006186,,
