fecha,prediccion,real,precios
2018-10-16,1.3458009560902913,1.919122686771757,14.87
2018-10-17,-1.0858437220255535,-5.820105820105814,14.24
2018-10-18,-2.0989644527435303,-6.133333333333334,14.08
2018-10-19,-4.427292029062907,-4.342017368069474,14.32
2018-10-22,-4.539421399434407,-4.135593220338979,14.14
2018-10-23,-4.159284194310506,-3.43878954607978,14.04
2018-10-24,-6.012466589609782,-5.483207676490752,13.79
25-10-2018,-5.9088358879089355,,
26-10-2018,-4.752862135569255,,
29-10-2018,-1.473262071609497,,
30-10-2018,1.1547032992045085,,
31-10-2018,-1.171919584274292,,
01-11-2018,0.2935902973016103,,
05-11-2018,0.913496732711792,,
