fecha,tasa,precios
13-08-2018,-0.5920783993466704,48.69
14-08-2018,-0.4670999187652396,49.01
15-08-2018,-1.5034538805363713,48.48
16-08-2018,-3.750501403931002,47.99
17-08-2018,-3.1507124222356016,48.26
20-08-2018,-0.9148200853831994,48.74
21-08-2018,2.153209109730862,49.34
22-08-2018,2.4234955843088923,49.87
23-08-2018,1.5098959396041665,49.75
24-08-2018,2.3927392739274005,49.64
27-08-2018,5.084392581787868,50.43
28-08-2018,3.709075839204308,50.05
29-08-2018,2.9544521953221126,50.18
30-08-2018,0.6485610052695443,49.66
