Security;AMXL MM Equity                                                   ;
Start Date;07/02/2001 0:00;
End Date;11/07/2018 0:00;
Period;D;
Currency;MXN;
;;
Date;PX_LAST;PX_VOLUME
05/04/2018;17,76;55348961
04/04/2018;17,69;56019700
03/04/2018;17,58;54374716
02/04/2018;17,16;41638364
28/03/2018;17,25;49426922
27/03/2018;17,63;26534951
26/03/2018;17,61;22673363
23/03/2018;17,35;50356538
22/03/2018;17,76;51157129
21/03/2018;17,72;65443834
20/03/2018;17,7;46399958
16/03/2018;17,75;210362299
15/03/2018;18,01;51289704
14/03/2018;17,98;34015756
13/03/2018;18,09;58067015
12/03/2018;17,84;32385574
09/03/2018;17,88;36449223
08/03/2018;17,64;40733541
07/03/2018;17,45;46438463
06/03/2018;17,45;39689879
05/03/2018;17,8;47275009
02/03/2018;17,55;39480255
01/03/2018;17,61;44369222
28/02/2018;17,34;82556505
27/02/2018;17,94;46329755
26/02/2018;18,01;54359336
23/02/2018;17,87;39155788
22/02/2018;17,92;70271256
21/02/2018;17,89;47511679
20/02/2018;17,75;41112482
19/02/2018;17,78;3688707
16/02/2018;17,87;46461396
15/02/2018;17,95;73548696
14/02/2018;17,38;56497246
13/02/2018;16,67;34025167
12/02/2018;16,6;36839713
09/02/2018;16,58;53298462
08/02/2018;16,6;92951286
07/02/2018;16,88;58371054
06/02/2018;17,19;65535722
02/02/2018;17,42;37611900
01/02/2018;17,64;61901796
31/01/2018;17,44;57548384
30/01/2018;17,47;32935890
29/01/2018;17,4;41057612
26/01/2018;17,62;51851314
25/01/2018;17,61;72490146
