fecha,tasa,precios
26-10-2018,-6.8878833584715995,18.52
29-10-2018,-5.241730279898207,18.62
30-10-2018,-5.3120165033522495,18.36
31-10-2018,-9.898477157360404,17.75
01-11-2018,-4.081632653061233,17.86
05-11-2018,-0.9169363538295477,18.37
06-11-2018,-0.43080236941304173,18.49
07-11-2018,1.9438444924406018,18.88
08-11-2018,-0.9667024704618674,18.44
09-11-2018,2.6143790849673225,18.84
12-11-2018,1.6338028169014036,18.04
13-11-2018,-2.911534154535272,17.34
14-11-2018,-6.804572672836145,17.12
15-11-2018,-9.572742022714978,16.72
