fecha,tasa,precios
27-11-2018,4.186602870813414,17.42
28-11-2018,5.6570418385386025,17.93
29-11-2018,8.783382789317487,18.33
30-11-2018,9.37129300118625,18.44
03-12-2018,3.294117647058816,17.56
04-12-2018,3.9762611275964277,17.52
05-12-2018,4.237786933490303,17.71
06-12-2018,6.773823191733637,18.6
07-12-2018,7.529280535415513,19.28
10-12-2018,5.728314238952541,19.38
11-12-2018,7.375271149674616,19.8
13-12-2018,14.92027334851937,20.18
14-12-2018,15.011415525114149,20.15
17-12-2018,13.156408808582711,20.04
