fecha,prediccion,real,precios
04-10-2018,0.08861944079399109,-5.462724935732646,14.71
05-10-2018,0.047600023448467255,-5.382619974059663,14.59
08-10-2018,0.16203124324480692,-1.1764705882353037,15.12
09-10-2018,0.3140605290730794,-0.26595744680850497,15.0
10-10-2018,0.23505382239818573,-1.7716535433070837,14.97
11-10-2018,-0.1082313706477483,-2.70448548812665,14.75
12-10-2018,-0.27439999937390286,-0.9536784741144453,14.54
15-10-2018,-0.12000521024068196,,
16-10-2018,-0.8051480402549108,,
17-10-2018,-1.9707096020380657,,
18-10-2018,-2.970114310582479,,
19-10-2018,-3.825188636779785,,
22-10-2018,-4.313653628031413,,
23-10-2018,-4.813340028127034,,
