fecha,prediccion,real,precios
30-08-2018,0.18018845282495022,0.6485610052695443,49.66
31-08-2018,0.3009665012359619,-0.7018247443352603,49.52
03-09-2018,0.32521818578243256,-0.402010050251262,49.55
04-09-2018,0.37296331524848936,-1.4705882352941257,48.91
05-09-2018,-0.5405729323625564,-3.608962918897482,48.61
06-09-2018,-0.6192876763641835,-2.637362637362638,48.73
07-09-2018,-1.120972204208374,-2.4511757672379373,48.95
10-09-2018,-1.695877242088318,,
11-09-2018,-1.874638605117798,,
12-09-2018,-0.798901104927063,,
13-09-2018,0.3183064550161362,,
14-09-2018,0.9759485721588135,,
17-09-2018,0.4809758305549622,,
18-09-2018,0.3986163973808289,,
