index,activation,epochs,error,hidden,learning_rate,prediction,random_seed
140,<function relu at 0x0000000008CBE400>,500,1.2925327752001343,1000,0.0005,"[0.3501233160495758, 1.1421529054641724, 1.8044039011001587, 1.2044849395751953, -0.3000621199607849, -1.7513296604156494, -1.982190728187561, 0.6780825853347778, 4.289949417114258, 3.5134963989257812, 1.8302252292633057, 1.565662145614624, 3.639437198638916, 4.7124199867248535]",1.2925327752001343
143,<function relu at 0x0000000008CBE400>,1000,1.7017252178480613,1000,0.0005,"[0.5290875434875488, 1.2226532697677612, 1.38479745388031, 0.08185109496116638, -1.3953460454940796, -2.681586503982544, -0.10859927535057068, 4.7496562004089355, 6.6933770179748535, 3.6670026779174805, 1.1160094738006592, 0.6614989042282104, 3.2874069213867188, 2.7358083724975586]",1.7017252178480613
72,<function relu at 0x0000000008CBE400>,500,2.3212388648024938,100,0.0001,"[0.09618980437517166, 0.4273588955402374, 0.7753491401672363, 1.0783838033676147, 1.0133163928985596, 0.5601568818092346, 0.7379967570304871, 1.2429560422897339, 1.4465314149856567, 0.9148808121681213, 0.25250598788261414, 0.4245244264602661, 0.7005053758621216, 0.9329110383987427]",2.3212388648024938
73,<function relu at 0x0000000008CBE400>,500,2.4227078815856458,100,0.0001,"[0.1786625236272812, 0.3342297077178955, 0.5936350226402283, 0.9862824082374573, 0.982348620891571, 0.6669418811798096, 1.0593383312225342, 1.578823208808899, 1.675626516342163, 1.3791866302490234, 1.2742255926132202, 0.6322228312492371, 0.01887996308505535, -0.46595486998558044]",2.4227078815856458
117,<function relu at 0x0000000008CBE400>,1000,2.4577651759083965,500,0.0005,"[0.3162534832954407, 0.839801549911499, 1.5210438966751099, 2.1001157760620117, 1.4666364192962646, 0.5781610012054443, 0.731468915939331, 1.1692842245101929, 3.578184127807617, 3.937373399734497, 3.4168591499328613, 2.159754514694214, 2.8470356464385986, 0.4898405969142914]",2.4577651759083965
89,<function relu at 0x0000000008CBE400>,1000,2.625517370889479,100,0.005,"[0.13473139703273773, 0.11942742764949799, 0.5423567891120911, -0.45300543308258057, 0.36470460891723633, 2.0801498889923096, 0.022474393248558044, -0.7071744203567505, -0.3112785220146179, -0.9957872629165649, -1.4899263381958008, -1.2496975660324097, 2.5307626724243164, 4.569902420043945]",2.625517370889479
75,<function relu at 0x0000000008CBE400>,1000,2.6758657482033485,100,0.0001,"[0.1306302845478058, 0.6019707322120667, 1.1678626537322998, 1.5931291580200195, 1.5810210704803467, 1.1415098905563354, 1.2585850954055786, 1.8739657402038574, 2.188671827316284, 1.9192390441894531, 1.3042113780975342, 1.5340609550476074, 2.059293031692505, 2.1608691215515137]",2.6758657482033485
74,<function relu at 0x0000000008CBE400>,500,2.680973789162899,100,0.0001,"[0.1380070596933365, 0.34784233570098877, 0.6858654022216797, 0.9926238059997559, 1.079180121421814, 0.913524866104126, 1.7683433294296265, 2.0355303287506104, 1.8305209875106812, 1.6147582530975342, 1.7568602561950684, 1.5134581327438354, 1.3116250038146973, 1.1971776485443115]",2.680973789162899
134,<function relu at 0x0000000008CBE400>,500,2.7427151706503605,1000,0.005,"[0.2787626087665558, 0.5400211215019226, 1.3438929319381714, 1.566725254058838, 1.2594952583312988, 0.9963093996047974, 1.7386226654052734, 2.9770188331604004, 2.595942497253418, 1.3178801536560059, 0.42070600390434265, -0.1279449164867401, 0.5431187748908997, -0.5488775372505188]",2.7427151706503605
63,<function elu at 0x0000000008CC56A8>,1000,2.775866679570784,1000,0.005,"[0.1163829118013382, 0.46334758400917053, 1.0090612173080444, 1.5622622966766357, 2.859321355819702, 2.559342861175537, -1.2550791501998901, 2.9379239082336426, 4.074688911437988, 5.895684242248535, 7.028848648071289, 6.546016693115234, 6.176912307739258, 3.7089221477508545]",2.775866679570784
76,<function relu at 0x0000000008CBE400>,1000,2.840990241684041,100,0.0001,"[0.24755755066871643, 0.526181697845459, 1.002512812614441, 1.5137685537338257, 1.462330937385559, 1.2730977535247803, 1.852387547492981, 2.6065492630004883, 3.0041441917419434, 2.8466362953186035, 3.00172758102417, 2.97835111618042, 2.925441265106201, 2.84942626953125]",2.840990241684041
1,<function elu at 0x0000000008CC56A8>,500,2.8537894253715814,100,0.0001,"[0.18735350668430328, 0.5597855448722839, 1.1065559387207031, 1.7379834651947021, 1.9686224460601807, 1.418748378753662, 1.545006275177002, 1.707515001296997, 0.8958770036697388, 0.427299827337265, 0.23604358732700348, 0.3331296741962433, 0.8753880262374878, 2.363845109939575]",2.8537894253715814
0,<function elu at 0x0000000008CC56A8>,500,2.8604077602306566,100,0.0001,"[0.0698191374540329, 0.36758434772491455, 0.8554414510726929, 1.359209418296814, 1.7808305025100708, 1.6527572870254517, 1.5146650075912476, 1.6473791599273682, 1.2393442392349243, 0.3592936396598816, 0.3239932656288147, 0.30731886625289917, 0.8883872628211975, 2.0197417736053467]",2.8604077602306566
126,<function relu at 0x0000000008CBE400>,500,2.9154521888575897,1000,0.001,"[0.4902810752391815, 0.6798477172851562, 0.7504298090934753, 0.7018897533416748, 0.14702638983726501, 1.0498578548431396, 2.4686074256896973, 1.9491393566131592, 0.881865382194519, 1.588421106338501, 1.447275161743164, -0.8259086608886719, 2.570882558822632, 2.8234312534332275]",2.9154521888575897
4,<function elu at 0x0000000008CC56A8>,1000,2.9377221632793202,100,0.0001,"[0.20647893846035004, 0.5820948481559753, 1.1387443542480469, 1.8510123491287231, 2.1937363147735596, 1.5480051040649414, 1.629981517791748, 1.5572974681854248, 0.44371461868286133, 0.3536522090435028, 0.6955806612968445, 0.8730309009552002, 1.8620238304138184, 3.5500237941741943]",2.9377221632793202
86,<function relu at 0x0000000008CBE400>,500,2.949809900107627,100,0.005,"[0.251078337430954, 0.6034601330757141, 1.0119742155075073, 0.31631556153297424, 0.6028306484222412, 1.4469634294509888, 2.2006564140319824, 1.0410940647125244, 1.0158354043960571, -0.40895113348960876, -1.6057711839675903, -1.7612498998641968, 0.12377176433801651, -0.0777551457285881]",2.949809900107627
18,<function elu at 0x0000000008CC56A8>,500,2.9942873167600954,100,0.0005,"[0.14607565104961395, 0.656631350517273, 1.3673759698867798, 1.994889736175537, 2.3186261653900146, 1.898098111152649, 1.3490636348724365, 1.5844225883483887, 1.881819248199463, 2.010767698287964, 2.424840211868286, 2.848938465118408, 3.965792417526245, 4.730096817016602]",2.9942873167600954
98,<function relu at 0x0000000008CBE400>,500,3.0088061890733773,500,0.0001,"[0.17253541946411133, 0.5316213369369507, 1.0484102964401245, 1.6279139518737793, 1.9449844360351562, 1.5332039594650269, 2.0803322792053223, 3.083969831466675, 3.073117256164551, 1.7525105476379395, 0.5169605612754822, -0.9255754947662354, -1.9508442878723145, -2.2272145748138428]",3.0088061890733773
19,<function elu at 0x0000000008CC56A8>,500,3.01129515397925,100,0.0005,"[0.26237866282463074, 0.6161189079284668, 1.2099246978759766, 2.073698043823242, 2.4917967319488525, 1.764683723449707, 1.5009253025054932, 1.1345455646514893, 0.5090872049331665, 0.12442174553871155, -0.032169368118047714, 0.10580456256866455, 1.3795394897460938, 1.8956749439239502]",3.01129515397925
57,<function elu at 0x0000000008CC56A8>,1000,3.0133572789173497,1000,0.001,"[0.45230576395988464, 0.6263061761856079, 1.4817314147949219, 1.4326287508010864, 1.2352076768875122, 0.7595843076705933, 2.8418538570404053, 4.607144832611084, 4.126627445220947, 3.4490463733673096, 2.12001371383667, 1.6064378023147583, 1.8808324337005615, -0.07088985294103622]",3.0133572789173497
133,<function relu at 0x0000000008CBE400>,500,3.0190499447434793,1000,0.005,"[0.23361769318580627, 0.5290603637695312, 1.1119204759597778, 1.474000096321106, 1.3990894556045532, 2.208059310913086, 1.5904427766799927, 1.0446165800094604, -1.5603548288345337, 0.5702738761901855, -1.1394692659378052, -0.40262022614479065, 0.6447898149490356, 0.6891361474990845]",3.0190499447434793
3,<function elu at 0x0000000008CC56A8>,1000,3.0196230191584315,100,0.0001,"[0.09127495437860489, 0.5234176516532898, 1.1318073272705078, 1.7119274139404297, 2.100637912750244, 1.8841480016708374, 1.6946775913238525, 1.9054832458496094, 1.5960432291030884, 1.0905568599700928, 1.7854448556900024, 2.184621572494507, 3.73134183883667, 5.1051764488220215]",3.0196230191584315
50,<function elu at 0x0000000008CC56A8>,500,3.058546457299981,1000,0.0001,"[0.09843932837247849, 0.4906359016895294, 1.1662837266921997, 1.772236943244934, 2.232876777648926, 1.9513698816299438, 1.7230699062347412, 1.5725189447402954, 1.2239612340927124, -0.017848098650574684, 1.0693998336791992, 2.85097599029541, 5.387626647949219, 4.7371110916137695]",3.058546457299981
49,<function elu at 0x0000000008CC56A8>,500,3.0767083642637,1000,0.0001,"[0.12166550010442734, 0.5295410752296448, 1.234546422958374, 1.9037531614303589, 2.2991387844085693, 1.9463629722595215, 1.7356196641921997, 1.595440149307251, 1.6482887268066406, 1.7412502765655518, 3.0136947631835938, 5.248618125915527, 5.6986985206604, 5.026590824127197]",3.0767083642637
25,<function elu at 0x0000000008CC56A8>,500,3.0960245768995938,500,0.0001,"[0.11314970999956131, 0.5068406462669373, 1.1707714796066284, 1.8162322044372559, 2.2312073707580566, 1.933180809020996, 1.8878555297851562, 2.2864556312561035, 1.4361534118652344, 1.6321343183517456, 2.186493396759033, 2.020702600479126, 3.168750047683716, 3.322577714920044]",3.0960245768995938
22,<function elu at 0x0000000008CC56A8>,1000,3.1101449483110595,100,0.0005,"[0.28329288959503174, 0.6470451354980469, 1.2523105144500732, 2.3211116790771484, 2.880276679992676, 1.913285493850708, 1.477652668952942, 0.9441682696342468, 0.8467552065849304, 0.8853999972343445, 0.362252414226532, 0.8893004059791565, 2.0072226524353027, 2.6583311557769775]",3.1101449483110595
