fecha,tasa,precios
11-09-2018,-2.803738317757016,15.6
12-09-2018,-0.3105590062111845,16.05
13-09-2018,1.709943001899934,16.06
14-09-2018,2.418300653594766,15.67
17-09-2018,0.25789813023856173,15.55
18-09-2018,-0.6365372374283985,15.61
19-09-2018,-0.7001909611712361,15.6
20-09-2018,0.12820512820512547,15.62
21-09-2018,-2.990654205607479,15.57
24-09-2018,-3.2378580323785777,15.54
25-09-2018,-0.7019783024888285,15.56
26-09-2018,-0.8360128617363394,15.42
27-09-2018,-1.9859064702113949,15.3
28-09-2018,-3.589743589743593,15.04
