Security,LALAB MM Equity                                                 
Start Date,15/10/2013 00:00
End Date,04/12/2018 00:00
Period,D
Currency,MXN
,
Date,PRECIO
04/12/2018,17.52
03/12/2018,17.56
30/11/2018,18.44
29/11/2018,18.33
28/11/2018,17.93
27/11/2018,17.42
26/11/2018,16.99
23/11/2018,16.85
22/11/2018,17
21/11/2018,16.86
20/11/2018,16.85
16/11/2018,16.97
15/11/2018,16.72
14/11/2018,17.12
13/11/2018,17.34
12/11/2018,18.04
09/11/2018,18.84
08/11/2018,18.44
07/11/2018,18.88
06/11/2018,18.49
05/11/2018,18.37
01/11/2018,17.86
31/10/2018,17.75
30/10/2018,18.36
29/10/2018,18.62
26/10/2018,18.52
25/10/2018,18.57
24/10/2018,18.54
23/10/2018,18.62
22/10/2018,19.7
19/10/2018,19.39
18/10/2018,19.65
17/10/2018,19.89
16/10/2018,19.81
15/10/2018,19.61
12/10/2018,19.93
11/10/2018,19.97
10/10/2018,19.62
09/10/2018,20.19
08/10/2018,20.23
05/10/2018,20.57
04/10/2018,20.6
03/10/2018,20.52
02/10/2018,21.83
01/10/2018,21.42
28/09/2018,21.4
27/09/2018,21.3
26/09/2018,21.22
25/09/2018,21.04
24/09/2018,20.94
21/09/2018,20.7
20/09/2018,20.23
19/09/2018,20.14
18/09/2018,19.84
17/09/2018,19.8
14/09/2018,19.91
13/09/2018,20.16
12/09/2018,19.71
11/09/2018,19.79
10/09/2018,19.74
07/09/2018,19.54
06/09/2018,19.53
05/09/2018,19.8
04/09/2018,20.08
03/09/2018,20.36
31/08/2018,20.31
30/08/2018,20.27
29/08/2018,20.61
28/08/2018,20.5
27/08/2018,21.21
24/08/2018,20.52
23/08/2018,20.75
22/08/2018,20.8
21/08/2018,20.68
20/08/2018,20.31
17/08/2018,20.25
16/08/2018,20.05
15/08/2018,19.5
14/08/2018,19.77
13/08/2018,19.31
10/08/2018,19.46
09/08/2018,19.24
08/08/2018,19.52
07/08/2018,19.6
06/08/2018,19.26
03/08/2018,19.4
02/08/2018,19.65
01/08/2018,19.53
31/07/2018,19.77
30/07/2018,19.84
27/07/2018,19.81
26/07/2018,19.88
25/07/2018,20.61
24/07/2018,20.27
23/07/2018,20.37
20/07/2018,20.15
19/07/2018,20.6
18/07/2018,20.74
17/07/2018,20.73
16/07/2018,20.88
13/07/2018,20.74
12/07/2018,21.16
11/07/2018,21.67
