fecha,prediccion,real,precios
20-11-2018,0.2495132436354955,0.0,3.17
21-11-2018,0.40076826016108197,-0.9615384615384694,3.09
22-11-2018,-1.371359944343567,-1.8987341772151916,3.1
23-11-2018,-2.7756436268488565,-0.6535947712418306,3.04
26-11-2018,-5.337960720062256,-7.911392405063291,2.91
27-11-2018,-3.267770608266195,-3.225806451612906,3.0
28-11-2018,-2.627289573351542,-3.0769230769230798,3.15
29-11-2018,1.2608584960301716,,
30-11-2018,-0.08377814292907715,,
03-12-2018,-1.6275744636853535,,
04-12-2018,1.0874601205190022,,
05-12-2018,-0.4130737781524658,,
06-12-2018,0.042440573374430336,,
07-12-2018,0.7234393159548441,,
