index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
1,"[1.0724472999572754, 0.9965018630027771, 0.789121687412262, -0.9476402997970581, -2.27817964553833, -2.3989646434783936, -4.0961527824401855, -1.8280917406082153, -1.2815347909927368, -0.879309892654419, -1.3788779973983765, -1.2601202726364136, -4.865255355834961, -6.022809028625488]","[30, 30, 30]",<function elu at 0x0000020F3DAF8F28>,1000,100,7.969260699947742,0.001
17,"[1.0724472999572754, 0.9965018630027771, 0.789121687412262, -0.9476402997970581, -2.27817964553833, -2.3989646434783936, -4.0961527824401855, -1.8280917406082153, -1.2815347909927368, -0.879309892654419, -1.3788779973983765, -1.2601202726364136, -4.865255355834961, -6.022809028625488]","[30, 30, 30]",<function relu at 0x0000020F3DB012F0>,1000,100,7.969260699947742,0.001
24,"[0.8046042919158936, 1.3376632928848267, 1.6795202493667603, -0.0583391897380352, -2.6051554679870605, -5.321791648864746, -5.224451065063477, -5.998472690582275, -8.428571701049805, -9.305133819580078, -9.719377517700195, -10.528797149658203, -12.067646980285645, -11.839665412902832]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1000,50,8.086220280247852,0.001
8,"[0.8046042919158936, 1.3376632928848267, 1.6795202493667603, -0.0583391897380352, -2.6051554679870605, -5.321791648864746, -5.224451065063477, -5.998472690582275, -8.428571701049805, -9.305133819580078, -9.719377517700195, -10.528797149658203, -12.067646980285645, -11.839665412902832]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,50,8.086220280247852,0.001
19,"[1.0412566661834717, 0.8963483572006226, 0.7207847237586975, -1.1160351037979126, -2.576763868331909, -2.630176544189453, -4.299703121185303, -2.3350889682769775, -3.614609956741333, -3.8601596355438232, -4.123058795928955, -1.7128444910049438, -3.95516300201416, -6.533566474914551]","[30, 30, 30]",<function relu at 0x0000020F3DB012F0>,1500,100,8.100887945457103,0.001
3,"[1.0412566661834717, 0.8963483572006226, 0.7207847237586975, -1.1160351037979126, -2.576763868331909, -2.630176544189453, -4.299703121185303, -2.3350889682769775, -3.614609956741333, -3.8601596355438232, -4.123058795928955, -1.7128444910049438, -3.95516300201416, -6.533566474914551]","[30, 30, 30]",<function elu at 0x0000020F3DAF8F28>,1500,100,8.100887945457103,0.001
27,"[0.6357251405715942, 0.46812891960144043, 0.22415639460086823, -1.675302505493164, -0.5415977239608765, -2.5144639015197754, -1.4036775827407837, 0.402398943901062, 0.08321203291416168, 0.5943363904953003, 1.214593529701233, 2.206637144088745, 2.5774354934692383, 0.7971330881118774]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1500,100,8.18121640926208,0.001
11,"[0.6357251405715942, 0.46812891960144043, 0.22415639460086823, -1.675302505493164, -0.5415977239608765, -2.5144639015197754, -1.4036775827407837, 0.402398943901062, 0.08321203291416168, 0.5943363904953003, 1.214593529701233, 2.206637144088745, 2.5774354934692383, 0.7971330881118774]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,100,8.18121640926208,0.001
10,"[0.7531927824020386, 1.3720191717147827, 1.3706222772598267, -0.43358302116394043, -2.98693585395813, -5.067080974578857, -4.475192546844482, -5.297026634216309, -8.169535636901855, -8.840386390686035, -9.022027969360352, -9.611857414245605, -10.167754173278809, -9.190352439880371]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,50,8.181539812171408,0.001
26,"[0.7531927824020386, 1.3720191717147827, 1.3706222772598267, -0.43358302116394043, -2.98693585395813, -5.067080974578857, -4.475192546844482, -5.297026634216309, -8.169535636901855, -8.840386390686035, -9.022027969360352, -9.611857414245605, -10.167754173278809, -9.190352439880371]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1500,50,8.181539812171408,0.001
9,"[0.6561198234558105, 0.5678942203521729, 0.060367196798324585, -1.9953248500823975, -0.612467885017395, -1.5787936449050903, -1.071998953819275, 0.02269163727760315, -1.0677199363708496, -1.225500226020813, -1.4537642002105713, -0.43569961190223694, 0.606964111328125, -0.5829055309295654]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,100,8.18463441371984,0.001
25,"[0.6561198234558105, 0.5678942203521729, 0.060367196798324585, -1.9953248500823975, -0.612467885017395, -1.5787936449050903, -1.071998953819275, 0.02269163727760315, -1.0677199363708496, -1.225500226020813, -1.4537642002105713, -0.43569961190223694, 0.606964111328125, -0.5829055309295654]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1000,100,8.18463441371984,0.001
12,"[0.5507798194885254, 0.8199265599250793, 0.4426628351211548, -1.7250053882598877, -2.84246826171875, 0.5735953450202942, -0.6926606893539429, -1.2118444442749023, 1.4423282146453857, -1.2550320625305176, -0.9803160429000854, 0.9587564468383789, 3.0285284519195557, 5.592577934265137]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1000,50,8.212655117800919,0.01
28,"[0.5507798194885254, 0.8199265599250793, 0.4426628351211548, -1.7250053882598877, -2.84246826171875, 0.5735953450202942, -0.6926606893539429, -1.2118444442749023, 1.4423282146453857, -1.2550320625305176, -0.9803160429000854, 0.9587564468383789, 3.0285284519195557, 5.592577934265137]","[10, 10, 10]",<function relu at 0x0000020F3DB012F0>,1000,50,8.212655117800919,0.01
14,"[0.4775703549385071, 0.6652474999427795, 0.5014257431030273, -2.0732407569885254, -3.4133853912353516, -0.2810637354850769, -1.0989375114440918, -1.0103181600570679, 2.5123040676116943, -0.6512952446937561, -1.0354951620101929, 0.3048008680343628, 3.0546863079071045, 5.443365097045898]","[10, 10, 10]",<function elu at 0x0000020F3DAF8F28>,1500,50,8.420078254897764,0.01
