index,activation,epochs,error,hidden,learning_rate,prediction,random_seed
63,<function elu at 0x00000000092B5620>,1000,2.1056690954901436,1000,0.005,"[-0.6458219289779663, -0.04971979185938835, 0.18440039455890656, -1.0058649778366089, -2.7826499938964844, -3.2461280822753906, -2.1509742736816406, -2.0952649116516113, 0.022767942398786545, -0.48959311842918396, 0.184962198138237, 0.633436381816864, 3.4709458351135254, 4.28720235824585]",2.1056690954901436
35,<function elu at 0x00000000092B5620>,1000,2.7030338784007504,500,0.001,"[-0.16536259651184082, 0.03668879717588425, -1.5584405660629272, -2.9051249027252197, -1.906854510307312, -3.2106730937957764, -0.9513132572174072, 1.9175689220428467, 3.2893877029418945, 3.435243844985962, 4.074858665466309, -0.5752027034759521, -1.7334260940551758, 5.050567626953125]",2.7030338784007504
83,<function relu at 0x00000000092A7378>,1000,2.7345676931257303,100,0.001,"[0.1452508121728897, -0.07955674827098846, -0.351240336894989, -1.6996697187423706, -3.025784730911255, -1.76395845413208, -0.3364468216896057, 2.5393314361572266, 5.381389617919922, 5.7407307624816895, 6.726799964904785, 6.071210861206055, 3.5977859497070312, 1.856520414352417]",2.7345676931257303
82,<function relu at 0x00000000092A7378>,1000,2.7807838568639074,100,0.001,"[0.0077256374061107635, -0.156224325299263, -0.8151103854179382, -1.9867810010910034, -3.2652268409729004, -1.540384292602539, -0.18327696621418, 0.4422678053379059, 1.1459373235702515, 0.4165836274623871, -1.348414659500122, -2.44293212890625, -4.978623867034912, -4.520697593688965]",2.7807838568639074
79,<function relu at 0x00000000092A7378>,500,2.8296681807875137,100,0.001,"[-0.1255754828453064, -0.12216654419898987, -0.4043733775615692, -1.5683321952819824, -2.6539642810821533, -1.2596042156219482, -0.5532484650611877, 0.540050208568573, 2.5807864665985107, 3.1985793113708496, 3.1698601245880127, 2.871959924697876, 2.370542526245117, 3.3607192039489746]",2.8296681807875137
14,<function elu at 0x00000000092B5620>,500,2.8640189408658685,100,0.005,"[-0.11021994799375534, 0.11767543107271194, -0.6386349201202393, -2.219942331314087, -0.1366431564092636, -2.347578525543213, -3.185086488723755, -0.9641938209533691, 1.8933742046356201, -1.2520453929901123, -5.210180282592773, -2.1801905632019043, -0.05469726398587227, 4.72722053527832]",2.8640189408658685
137,<function relu at 0x00000000092A7378>,1000,2.9456065843898114,1000,0.005,"[0.037417955696582794, 0.6348595023155212, 0.23034659028053284, -1.9634530544281006, -2.1505770683288574, -1.1909312009811401, -0.8847355842590332, 0.8622042536735535, 1.4798671007156372, 0.444349080324173, 0.1071716770529747, 1.551277756690979, 2.3646411895751953, 4.143534183502197]",2.9456065843898114
140,<function relu at 0x00000000092A7378>,500,2.949371302277411,1000,0.0005,"[-0.04317721724510193, -0.06506145000457764, -0.4375459551811218, -1.8151636123657227, -1.6600122451782227, -1.371059775352478, -0.8617949485778809, 2.7590646743774414, 3.653996467590332, 1.5654689073562622, 0.551730751991272, 1.9796403646469116, -0.4624289572238922, -3.6152334213256836]",2.949371302277411
78,<function relu at 0x00000000092A7378>,500,2.95693951251335,100,0.001,"[-0.2720869183540344, -0.07584664225578308, 0.38633421063423157, -0.4257468581199646, -1.0490208864212036, -1.362359881401062, -1.812892198562622, -1.3755069971084595, -1.9524054527282715, -2.979264974594116, -3.466366767883301, -3.7010276317596436, -6.576160430908203, -8.714874267578125]",2.95693951251335
28,<function elu at 0x00000000092B5620>,1000,2.9576613059882484,500,0.0001,"[-0.4701705873012543, -0.031341519206762314, 0.026430997997522354, -0.3447900712490082, -1.8065896034240723, -1.5357029438018799, -0.7251284122467041, -0.3267327845096588, 0.8699517846107483, 0.3041967451572418, 0.3109678328037262, -0.4783988893032074, -1.6260573863983154, -0.5867580771446228]",2.9576613059882484
13,<function elu at 0x00000000092B5620>,500,2.9648494409522654,100,0.005,"[0.014237106777727604, 0.21417731046676636, -0.6105750203132629, -2.0865001678466797, -2.4121360778808594, -1.8291378021240234, 0.060803115367889404, 4.694666385650635, 8.620820045471191, 7.189925193786621, 7.523448944091797, 8.012680053710938, 5.146252632141113, 4.908766269683838]",2.9648494409522654
39,<function elu at 0x00000000092B5620>,1000,2.982615462487935,500,0.005,"[-0.1483677327632904, 0.0658784806728363, -1.6400469541549683, -1.5395658016204834, -5.285338401794434, -1.8773165941238403, 1.14096200466156, 4.319107532501221, 6.136016845703125, 4.449057579040527, 5.860864162445068, 7.500159740447998, 3.557379961013794, -3.754287004470825]",2.982615462487935
100,<function relu at 0x00000000092A7378>,1000,2.985709711212442,500,0.0001,"[-0.30805447697639465, -0.34159624576568604, 0.1165679544210434, -0.8715143799781799, -1.7305169105529785, -1.307159185409546, -0.5644579529762268, -0.1457095742225647, 0.3813893496990204, -0.07739746570587158, -0.14120644330978394, 0.5132606029510498, -0.94968181848526, -0.6465998291969299]",2.985709711212442
64,<function elu at 0x00000000092B5620>,1000,3.044417118613688,1000,0.005,"[-0.37934666872024536, -0.05574200302362442, 0.4409698247909546, -0.006093807518482208, -0.5967609882354736, -1.6519283056259155, -1.8986743688583374, -2.6378118991851807, -1.6425515413284302, -0.732738733291626, -0.5208530426025391, 1.0168973207473755, 2.207489490509033, 4.127081394195557]",3.044417118613688
93,<function relu at 0x00000000092A7378>,1000,3.060899335218715,100,0.0005,"[-0.10556718707084656, -0.023054301738739014, 0.44930171966552734, -0.4067574441432953, -1.278024673461914, -1.1782475709915161, -1.1668676137924194, -1.431654930114746, -1.6430398225784302, -1.6024041175842285, -1.6850335597991943, -1.5316425561904907, -2.3895671367645264, -3.0263702869415283]",3.060899335218715
119,<function relu at 0x00000000092A7378>,1000,3.0860590745984218,500,0.0005,"[0.08563324809074402, -0.13086427748203278, -0.6306290626525879, -1.6972053050994873, -2.072927236557007, -1.0841177701950073, -0.1421901434659958, 1.8240150213241577, 3.265554428100586, 2.6333608627319336, 2.8882315158843994, 2.6010053157806396, -2.832364082336426, -6.011645317077637]",3.0860590745984218
8,<function elu at 0x00000000092B5620>,500,3.10026596814989,100,0.001,"[-0.5104701519012451, -0.39484477043151855, -0.2663733959197998, -0.8911421298980713, -2.7133381366729736, -1.0767878293991089, 0.527025580406189, 1.3695721626281738, 1.2261838912963867, 1.2849069833755493, 2.4461817741394043, 2.5136592388153076, 2.9334840774536133, 3.036846399307251]",3.10026596814989
103,<function relu at 0x00000000092A7378>,500,3.1265379967069555,500,0.001,"[0.08349476009607315, -0.022923357784748077, -0.7295385003089905, -2.004371166229248, -2.24037504196167, -1.4458118677139282, 0.3847249150276184, 4.807559490203857, 6.652714729309082, 5.0859575271606445, 7.44959831237793, 9.181991577148438, 7.142463207244873, 2.915846109390259]",3.1265379967069555
20,<function elu at 0x00000000092B5620>,500,3.1310056121083125,100,0.0005,"[-0.549981415271759, -0.2829488515853882, 0.06635373085737228, -0.9240182042121887, -1.6814841032028198, -1.175856590270996, -0.047330569475889206, 1.4307425022125244, 2.767564535140991, 3.0102670192718506, 2.48549747467041, 2.5770151615142822, 2.668745994567871, 5.211060523986816]",3.1310056121083125
24,<function elu at 0x00000000092B5620>,500,3.137424015058533,500,0.0001,"[-0.48674485087394714, -0.003163467161357403, 0.2468963861465454, -0.2131461799144745, -1.0562102794647217, -1.525755763053894, -0.7321483492851257, 0.42901384830474854, 1.3916339874267578, 1.9492543935775757, 2.3022024631500244, 1.0907098054885864, -0.7131029367446899, -0.45688462257385254]",3.137424015058533
89,<function relu at 0x00000000092A7378>,1000,3.1653706471094085,100,0.005,"[-0.04039737582206726, -0.4740038812160492, -1.0045899152755737, -0.8777217864990234, -1.4033551216125488, -0.9013944864273071, -0.6578158140182495, 5.273861408233643, 8.018012046813965, 7.86062479019165, 2.6971614360809326, 9.371363639831543, 8.447782516479492, 2.2057571411132812]",3.1653706471094085
25,<function elu at 0x00000000092B5620>,500,3.1764459639154428,500,0.0001,"[-0.4942478537559509, -0.01406007632613182, 0.16791345179080963, -0.16103947162628174, -1.2555876970291138, -1.3089696168899536, -0.5180842280387878, -0.28210869431495667, 1.0029078722000122, 1.2686166763305664, 1.552832841873169, 0.6009926199913025, -1.5641849040985107, -1.4927482604980469]",3.1764459639154428
69,<function elu at 0x00000000092B5620>,1000,3.1984826399832436,1000,0.0005,"[-0.23872290551662445, 0.06559275090694427, -0.881765604019165, -2.652651309967041, -0.9604852199554443, -1.4716724157333374, -0.5034208297729492, 1.810295820236206, 3.7641115188598633, 2.2198824882507324, 4.080711364746094, 2.615367889404297, -1.1547763347625732, 1.9830975532531738]",3.1984826399832436
49,<function elu at 0x00000000092B5620>,500,3.2035219228456087,1000,0.0001,"[-0.46048489212989807, 0.04522022604942322, -0.01113380677998066, -0.10858769714832306, -1.6122374534606934, -1.5631381273269653, 0.0899999588727951, 0.11535899341106415, 1.707593321800232, 2.182816505432129, 1.8351225852966309, 1.1002050638198853, -1.801381230354309, -1.385060429573059]",3.2035219228456087
23,<function elu at 0x00000000092B5620>,1000,3.206150886795666,100,0.0005,"[-0.5825849771499634, -0.37031057476997375, -0.07109296321868896, -1.1815093755722046, -1.8234241008758545, -1.2092692852020264, 0.4872959852218628, 2.257469415664673, 3.5309934616088867, 3.2371582984924316, 2.3514766693115234, 2.970034122467041, 3.6482863426208496, 6.173295497894287]",3.206150886795666
50,<function elu at 0x00000000092B5620>,500,3.2067037727899423,1000,0.0001,"[-0.47892332077026367, -0.01230921782553196, 0.056195907294750214, 0.07435906678438187, -1.2962977886199951, -1.344404935836792, -0.4152034521102905, 0.6595858335494995, 2.0081136226654053, 1.7044703960418701, 0.3793002963066101, 0.3552732467651367, -2.5249361991882324, -2.1207516193389893]",3.2067037727899423
125,<function relu at 0x00000000092A7378>,1000,3.228094516203455,1000,0.0001,"[-0.26750871539115906, -0.17044277489185333, 0.02244226634502411, -0.9269998669624329, -1.847970724105835, -0.9203686714172363, 0.21947461366653442, 1.177077054977417, 2.5912301540374756, 2.8979005813598633, 3.0004377365112305, 3.9087295532226562, 3.4484825134277344, 3.290088415145874]",3.228094516203455
90,<function relu at 0x00000000092A7378>,500,3.2346384434578743,100,0.0005,"[-0.18137110769748688, 0.019534757360816002, 0.37989020347595215, -0.11934692412614822, -0.7795296907424927, -0.871563196182251, -1.3305741548538208, -2.0438876152038574, -2.6145923137664795, -2.641361713409424, -2.926887035369873, -2.5121729373931885, -2.453660488128662, -1.005871295928955]",3.2346384434578743
48,<function elu at 0x00000000092B5620>,500,3.2391686686307017,1000,0.0001,"[-0.5183789134025574, -0.05379624292254448, 0.07892564684152603, -0.04965649172663689, -1.3313668966293335, -1.4260720014572144, -0.08120451122522354, 0.7212540507316589, 1.2695345878601074, 2.0536317825317383, 2.59114670753479, 2.3866240978240967, -0.30750295519828796, 2.149134874343872]",3.2391686686307017
