index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
246,"[0.260606586933136, 2.2338247299194336, 0.09519213438034058, 4.100979804992676, 5.418576717376709, 5.961352825164795, 6.551514625549316, 6.294800758361816, 6.170575141906738, 5.963964462280273, 3.931474447250366, -0.08399492502212524, -1.8115179538726807, -4.7426018714904785]",[25],<function relu at 0x000002470470F1E0>,1000,100,1.6287376370037017,0.01
182,"[1.369786262512207, 2.59505558013916, 1.69557523727417, 4.411472797393799, 3.343076467514038, 6.093142032623291, 7.357800006866455, 4.762991905212402, 5.9306206703186035, 2.4145357608795166, 0.23600980639457703, -3.59830904006958, -3.716160774230957, -1.9364721775054932]",[100],<function relu at 0x000002470470F1E0>,500,250,1.7333941493587504,0.01
248,"[0.4124123454093933, 2.3603193759918213, 2.329335927963257, 2.3309943675994873, 5.178961277008057, 4.722512722015381, 7.427445888519287, 9.107873916625977, 8.435052871704102, 4.959669589996338, 5.5663251876831055, 1.42116117477417, -6.194058895111084, -7.190397262573242]",[25],<function relu at 0x000002470470F1E0>,1000,150,2.032398252166509,0.01
241,"[0.31294262409210205, 1.8650237321853638, 0.424312949180603, 3.162703037261963, 4.236794948577881, 4.235827445983887, 5.972995281219482, 4.843814849853516, 4.89932107925415, 3.765622615814209, 2.6197376251220703, -0.4111228585243225, -1.1997579336166382, -3.269153594970703]",[25],<function relu at 0x000002470470F1E0>,500,100,2.285247463540128,0.01
255,"[0.6691942811012268, 2.335660934448242, 2.057803153991699, 2.310323715209961, 3.4573616981506348, 4.900540828704834, 5.871662616729736, 5.086778163909912, 3.6707088947296143, -4.846191883087158, -6.519853591918945, -3.095242738723755, -6.236449718475342, -9.192544937133789]",[25],<function relu at 0x000002470470F1E0>,1000,50,2.3619324301558264,0.001
306,"[1.1538262367248535, 2.54713773727417, 1.9734379053115845, 1.8985952138900757, 5.299222946166992, 5.413640975952148, 3.924269914627075, 5.172600746154785, 1.311161994934082, 2.196915626525879, -0.7151864767074585, -4.286013603210449, -2.5711755752563477, -3.0569515228271484]",[30],<function relu at 0x000002470470F1E0>,1000,100,2.4502019676421187,0.01
243,"[0.6052238345146179, 2.38562273979187, 2.308342695236206, 2.3965506553649902, 4.475794315338135, 3.1131749153137207, 6.413686275482178, 6.476274013519287, 5.9695916175842285, 4.458102703094482, 2.6763949394226074, -0.6433338522911072, -5.392125606536865, -6.259154796600342]",[25],<function relu at 0x000002470470F1E0>,500,150,2.5960608700831678,0.01
257,"[0.5350623726844788, 2.06477689743042, 2.800083875656128, 1.9665418863296509, 4.0010905265808105, 6.365184307098389, 3.951118230819702, 4.505386829376221, 2.2667081356048584, -0.2691844701766968, -3.2174618244171143, -3.934692144393921, -4.618136882781982, -5.783661365509033]",[25],<function relu at 0x000002470470F1E0>,1000,250,2.6381380304420863,0.001
252,"[0.36955299973487854, 1.8036303520202637, 2.1642043590545654, 1.5100672245025635, 3.865065813064575, 5.591720104217529, 4.005303859710693, 5.133522987365723, 3.316525936126709, 1.9043869972229004, -1.7601029872894287, -3.970673084259033, -4.938833236694336, -5.59099006652832]",[25],<function relu at 0x000002470470F1E0>,500,250,2.742053307274971,0.001
212,"[0.9314429759979248, 3.22021746635437, 1.5089137554168701, 1.6960060596466064, 3.41603422164917, 3.3996593952178955, 5.424128532409668, 9.252586364746094, 6.040309906005859, 4.164739608764648, 0.017304033041000366, -3.253175735473633, -7.220282077789307, -12.939007759094238]",[50],<function relu at 0x000002470470F1E0>,500,250,2.7538794642151214,0.01
274,"[1.0798697471618652, 2.7898685932159424, 2.591308355331421, 1.4034427404403687, 2.4572856426239014, 4.71058464050293, 5.093709468841553, 7.542341709136963, 7.079164981842041, 8.63697624206543, 5.994135856628418, 3.170698881149292, 2.4360556602478027, 0.46272870898246765]",[75],<function relu at 0x000002470470F1E0>,500,200,2.828144307828689,0.01
339,"[-0.25912824273109436, 1.7842457294464111, 1.741077184677124, 1.5573992729187012, 3.67375111579895, 3.8851897716522217, 5.039921760559082, 6.587937831878662, 5.065346717834473, 1.906278371810913, -0.39273256063461304, -0.7820789217948914, -1.308096170425415, -0.7779988646507263]",[10],<function relu at 0x000002470470F1E0>,1000,200,2.89796320278197,0.01
308,"[0.7516992092132568, 2.267333745956421, 2.7733025550842285, 2.4533801078796387, 5.557511329650879, 4.886448383331299, 2.7533812522888184, 2.1913363933563232, 0.6758296489715576, -0.5531405210494995, -4.516266822814941, -8.290200233459473, -7.803550720214844, -12.680232048034668]",[30],<function relu at 0x000002470470F1E0>,1000,150,2.948711886079185,0.01
270,"[1.0295928716659546, 2.424490451812744, 1.6983534097671509, 2.1020896434783936, 2.894514799118042, 3.9943253993988037, 3.9876868724823, 2.713186264038086, 1.690189003944397, 0.9814567565917969, -0.03612293303012848, -0.7073681354522705, -4.3637566566467285, -3.045071840286255]",[75],<function relu at 0x000002470470F1E0>,500,50,2.9621442525578443,0.01
278,"[1.3583186864852905, 2.64324951171875, -0.26880908012390137, 0.11158500611782074, 2.617102861404419, 5.526575088500977, 3.7952377796173096, 1.4882808923721313, 1.6549845933914185, 3.9486677646636963, -3.9153077602386475, -0.8105689287185669, -3.2431774139404297, -3.660029888153076]",[75],<function relu at 0x000002470470F1E0>,1000,150,2.979579673312226,0.01
346,"[0.7874264717102051, 1.9095643758773804, 2.2701778411865234, 1.950011134147644, 3.2467191219329834, 4.467350959777832, 3.644338607788086, 3.690500497817993, 2.7981808185577393, 2.6184258460998535, 1.139952301979065, 0.26316824555397034, -0.5421420335769653, -1.0093318223953247]",[10],<function relu at 0x000002470470F1E0>,1000,100,3.002560991563763,0.001
334,"[-0.02359148859977722, 1.902897834777832, 1.897221326828003, 1.4800853729248047, 4.465116024017334, 4.030763626098633, 3.8381094932556152, 2.1083192825317383, 0.15091368556022644, 0.29004988074302673, -0.4294428825378418, -0.06412604451179504, -0.7997949719429016, -0.5581320524215698]",[10],<function relu at 0x000002470470F1E0>,500,200,3.0038639398562816,0.01
217,"[0.8969908952713013, 3.244663715362549, 1.2572554349899292, 2.4375696182250977, 3.5028157234191895, 2.575801372528076, 4.665150165557861, 9.667258262634277, 5.397160530090332, 2.874323844909668, 6.410043716430664, -0.3214264512062073, -8.3672456741333, -18.369958877563477]",[50],<function relu at 0x000002470470F1E0>,1000,250,3.0143665525119476,0.01
301,"[1.2360607385635376, 2.4443254470825195, 2.179729700088501, 1.66183340549469, 4.586531639099121, 5.187925338745117, 2.4096107482910156, 3.8867812156677246, 1.2312862873077393, 2.002490282058716, 2.304955005645752, 0.8949248194694519, 1.578131914138794, 0.4341328740119934]",[30],<function relu at 0x000002470470F1E0>,500,100,3.0166774994084307,0.01
