index,prediction,neurons,activation,epochs,random_seed,error,learning_rate
3,"[1.5860942602157593, 1.385454535484314, 0.9572523832321167, 0.2454000562429428, -0.4638481140136719, -1.0805747509002686, -1.7007888555526733, -0.8608150482177734, 0.2699798345565796, 0.6223549842834473, 1.0790454149246216, 1.5268956422805786, 0.6043453812599182, -0.1697775274515152]",[10],<function elu at 0x0000025A38D4FE18>,1000,150,1.1880054193776315,0.001
147,"[1.5860942602157593, 1.385454535484314, 0.9572523832321167, 0.2454000562429428, -0.4638481140136719, -1.0805747509002686, -1.7007888555526733, -0.8608150482177734, 0.2699798345565796, 0.6223549842834473, 1.0790454149246216, 1.5268956422805786, 0.6043453812599182, -0.1697775274515152]",[10],<function relu at 0x0000025A38D6A1E0>,1000,150,1.1880054193776315,0.001
200,"[1.4968057870864868, 1.5528517961502075, 0.5130550861358643, 0.4482060968875885, -1.167364239692688, -1.375922441482544, -2.378774881362915, -2.0964672565460205, -1.8380229473114014, -2.258230209350586, -3.422224998474121, -3.6428163051605225, -3.3846161365509033, -3.1505603790283203]","[10, 10]",<function relu at 0x0000025A38D6A1E0>,1000,50,1.2568593472488487,0.01
56,"[1.4968057870864868, 1.5528517961502075, 0.5130550861358643, 0.4482060968875885, -1.167364239692688, -1.375922441482544, -2.378774881362915, -2.0964672565460205, -1.8380229473114014, -2.258230209350586, -3.422224998474121, -3.6428163051605225, -3.3846161365509033, -3.1505603790283203]","[10, 10]",<function elu at 0x0000025A38D4FE18>,1000,50,1.2568593472488487,0.01
270,"[1.8151510953903198, 1.349973440170288, 0.6254469156265259, -0.20732687413692474, -0.901439368724823, -1.2664893865585327, -1.1836557388305664, -1.412360429763794, -2.231489896774292, -0.9966719746589661, -0.5368146300315857, -0.6561629176139832, -1.3576775789260864, -1.025631308555603]","[10, 10, 10]",<function relu at 0x0000025A38D6A1E0>,500,250,1.3456608584619743,0.001
126,"[1.8151510953903198, 1.349973440170288, 0.6254469156265259, -0.20732687413692474, -0.901439368724823, -1.2664893865585327, -1.1836557388305664, -1.412360429763794, -2.231489896774292, -0.9966719746589661, -0.5368146300315857, -0.6561629176139832, -1.3576775789260864, -1.025631308555603]","[10, 10, 10]",<function elu at 0x0000025A38D4FE18>,500,250,1.3456608584619743,0.001
122,"[1.9524214267730713, 1.1839971542358398, -0.00564122200012207, -0.0033943653106689453, 0.06872409582138062, -1.6212005615234375, -1.4281959533691406, -2.0330452919006348, -2.9844870567321777, -1.6649775505065918, -1.3202049732208252, -1.109689474105835, -1.7890965938568115, -1.5445706844329834]","[10, 10, 10]",<function elu at 0x0000025A38D4FE18>,1000,250,1.4676086623471016,0.001
266,"[1.9524214267730713, 1.1839971542358398, -0.00564122200012207, -0.0033943653106689453, 0.06872409582138062, -1.6212005615234375, -1.4281959533691406, -2.0330452919006348, -2.9844870567321777, -1.6649775505065918, -1.3202049732208252, -1.109689474105835, -1.7890965938568115, -1.5445706844329834]","[10, 10, 10]",<function relu at 0x0000025A38D6A1E0>,1000,250,1.4676086623471016,0.001
204,"[1.687261939048767, 1.5143386125564575, 0.09014535695314407, 0.2805776596069336, -0.7148327231407166, -0.9994869232177734, -3.0298280715942383, -2.148775100708008, -2.8963112831115723, -2.964174270629883, -3.853367328643799, -3.336003303527832, -1.9282846450805664, -1.7105553150177002]","[10, 10]",<function relu at 0x0000025A38D6A1E0>,500,50,1.4710214968041846,0.01
60,"[1.687261939048767, 1.5143386125564575, 0.09014535695314407, 0.2805776596069336, -0.7148327231407166, -0.9994869232177734, -3.0298280715942383, -2.148775100708008, -2.8963112831115723, -2.964174270629883, -3.853367328643799, -3.336003303527832, -1.9282846450805664, -1.7105553150177002]","[10, 10]",<function elu at 0x0000025A38D4FE18>,500,50,1.4710214968041846,0.01
151,"[1.2203142642974854, 1.068521499633789, 0.6258792877197266, 0.7292098999023438, 0.5565587282180786, -0.34505024552345276, -0.9376088380813599, -1.2407081127166748, -0.3115924298763275, 0.33932092785835266, 0.9253091812133789, 1.469321846961975, 0.9528553485870361, 0.17387226223945618]",[10],<function relu at 0x0000025A38D6A1E0>,500,150,1.4767290095411592,0.001
7,"[1.2203142642974854, 1.068521499633789, 0.6258792877197266, 0.7292098999023438, 0.5565587282180786, -0.34505024552345276, -0.9376088380813599, -1.2407081127166748, -0.3115924298763275, 0.33932092785835266, 0.9253091812133789, 1.469321846961975, 0.9528553485870361, 0.17387226223945618]",[10],<function elu at 0x0000025A38D4FE18>,500,150,1.4767290095411592,0.001
102,"[0.8279082179069519, 0.9551683664321899, 0.7821627855300903, 0.5278021693229675, 0.07609453052282333, -0.44785138964653015, -1.0786739587783813, -0.11769715696573257, -0.10720468312501907, -0.4113233983516693, 0.46406254172325134, 1.274625539779663, 1.4912188053131104, 1.235969066619873]",[30],<function elu at 0x0000025A38D4FE18>,500,250,1.4773504394324302,0.001
246,"[0.8279082179069519, 0.9551683664321899, 0.7821627855300903, 0.5278021693229675, 0.07609453052282333, -0.44785138964653015, -1.0786739587783813, -0.11769715696573257, -0.10720468312501907, -0.4113233983516693, 0.46406254172325134, 1.274625539779663, 1.4912188053131104, 1.235969066619873]",[30],<function relu at 0x0000025A38D6A1E0>,500,250,1.4773504394324302,0.001
202,"[1.3393460512161255, 1.517844796180725, 0.6897229552268982, 0.590796709060669, 0.4227622151374817, -0.12449623644351959, -0.537851095199585, -0.663489580154419, -1.4732388257980347, -1.5133463144302368, -0.1434677094221115, 0.8154382705688477, -0.1513470858335495, 0.31427353620529175]","[10, 10]",<function relu at 0x0000025A38D6A1E0>,1000,250,1.4781522378098375,0.01
58,"[1.3393460512161255, 1.517844796180725, 0.6897229552268982, 0.590796709060669, 0.4227622151374817, -0.12449623644351959, -0.537851095199585, -0.663489580154419, -1.4732388257980347, -1.5133463144302368, -0.1434677094221115, 0.8154382705688477, -0.1513470858335495, 0.31427353620529175]","[10, 10]",<function elu at 0x0000025A38D4FE18>,1000,250,1.4781522378098375,0.01
146,"[0.9746633172035217, 0.9314742684364319, 0.7004407048225403, 0.5229329466819763, 0.20080433785915375, -0.4520297050476074, -1.1409958600997925, 0.10802949219942093, 0.08511719107627869, 0.4014221429824829, 1.3355050086975098, 1.493788719177246, 1.2822970151901245, 1.2106027603149414]",[10],<function relu at 0x0000025A38D6A1E0>,1000,250,1.4792362531352106,0.001
2,"[0.9746633172035217, 0.9314742684364319, 0.7004407048225403, 0.5229329466819763, 0.20080433785915375, -0.4520297050476074, -1.1409958600997925, 0.10802949219942093, 0.08511719107627869, 0.4014221429824829, 1.3355050086975098, 1.493788719177246, 1.2822970151901245, 1.2106027603149414]",[10],<function elu at 0x0000025A38D4FE18>,1000,250,1.4792362531352106,0.001
159,"[1.3822221755981445, 0.8659883141517639, 1.4992895126342773, 0.7864775061607361, 0.7810078263282776, 0.01833018660545349, -0.16643783450126648, 0.07666978240013123, -0.4052845537662506, -0.6411512494087219, -0.36452123522758484, -1.1748510599136353, 0.17556992173194885, -0.16472522914409637]",[10],<function relu at 0x0000025A38D6A1E0>,500,150,1.5081590458862975,0.01
15,"[1.3822221755981445, 0.8659883141517639, 1.4992895126342773, 0.7864775061607361, 0.7810078263282776, 0.01833018660545349, -0.16643783450126648, 0.07666978240013123, -0.4052845537662506, -0.6411512494087219, -0.36452123522758484, -1.1748510599136353, 0.17556992173194885, -0.16472522914409637]",[10],<function elu at 0x0000025A38D4FE18>,500,150,1.5081590458862975,0.01
